1,53,80,4,11 ms
2,2500,3125,5,184439 ms
3,2500,5000,5,272812 ms
4,2500,12500,5,342680 ms
5,2500,62500,5,366565 ms
6,55,82,6,235 ms
7,157,266,6,2369 ms
8,307,526,6,10060 ms
9,57,84,8,4762 ms
10,64,288,8,5945 ms
11,64,288,8,5842 ms
12,160,269,9,213577 ms
13,640,960,9,4482487 ms
14,640,960,9,4468618 ms
15,640,960,9,4540714 ms
18,640,4135,9,4739241 ms
26,640,204480,9,4473108 ms
27,90,135,10,249577 ms
28,169,280,10,1050595 ms
29,179,293,10,1163662 ms
30,286,465,10,3353328 ms
31,298,503,10,3570315 ms
32,311,530,10,3957323 ms
33,331,560,10,4272861 ms
34,541,906,10,12406357 ms
35,609,932,10,16384636 ms
36,632,1087,10,17422713 ms
37,777,1239,10,26141050 ms
38,816,1460,10,29104560 ms
53,128,227,11,2034264 ms
54,123,233,11,1805080 ms
55,191,302,11,4823321 ms
56,212,381,11,6400632 ms
57,237,390,11,7995517 ms
58,317,476,11,15094701 ms
59,278,478,11,11450510 ms
60,338,541,11,17216589 ms
61,353,608,11,18154499 ms
62,402,695,11,24592146 ms
63,572,963,11,51074709 ms
19,640,4135,9,4202292 ms
20,640,4135,9,4042783 ms
21,640,4135,9,4093606 ms
22,640,4135,9,3986991 ms
