1,53,80,4,503,1.000000,9 ms
2,2500,3125,5,115,1.036036,26 ms
3,2500,5000,5,78,1.068493,29 ms
4,2500,12500,5,38,1.117647,44 ms
5,2500,62500,5,15,1.000000,161 ms
6,55,82,6,557,1.000000,8 ms
7,157,266,6,1267,1.022598,12 ms
8,307,526,6,1911,1.013793,12 ms
9,57,84,8,932,1.006479,8 ms
10,64,288,8,2344,1.002566,8 ms
11,64,288,8,23,1.000000,9 ms
12,160,269,9,1776,1.042865,11 ms
13,640,960,9,4548,1.127696,16 ms
14,640,960,9,3782,1.054069,16 ms
15,640,960,9,3631,1.056137,16 ms
16,640,960,9,4175,1.043750,16 ms
17,640,960,9,4658,1.162755,17 ms
18,640,4135,9,2745,1.147575,17 ms
19,640,4135,9,2655,1.077079,16 ms
20,640,4135,9,2574,1.072947,17 ms
21,640,4135,9,2464,1.134960,16 ms
22,640,4135,9,2455,1.046016,18 ms
23,640,204480,9,2350,1.343624,285 ms
24,640,204480,9,2349,1.337699,304 ms
25,640,204480,9,2348,1.338654,237 ms
26,640,204480,9,2344,1.338663,238 ms
27,90,135,10,196,1.042553,8 ms
28,169,280,10,297,1.080000,10 ms
29,179,293,10,250,1.020408,8 ms
30,286,465,10,379,1.013368,12 ms
31,298,503,10,321,1.032154,14 ms
32,311,530,10,2304,1.024911,13 ms
33,331,560,10,334,1.047021,11 ms
34,541,906,10,470,1.028446,22 ms
35,609,932,10,628,1.080895,24 ms
36,632,1087,10,628,1.082758,24 ms
37,777,1239,10,571,1.008833,21 ms
38,816,1460,10,4335,1.012850,31 ms
39,875,1522,10,604,1.000000,19 ms
40,957,1554,10,632,1.041186,26 ms
41,898,1562,10,609,1.025252,18 ms
42,938,1655,10,626,1.016233,25 ms
43,918,1684,10,623,1.031456,61 ms
44,1080,2015,10,561,1.000000,51 ms
45,1290,2270,10,862,1.047387,59 ms
46,2500,3125,10,227,1.060747,68 ms
47,2500,5000,10,159,1.096551,81 ms
48,3023,5575,10,1604,1.010712,178 ms
49,3221,5938,10,1653,1.066451,261 ms
50,5181,8893,10,2155,1.068948,524 ms
51,2500,12500,10,69,1.029850,98 ms
52,2500,62500,10,26,1.040000,224 ms
53,128,227,11,1100377,1.000014,17 ms
54,123,233,11,1100207,1.000025,17 ms
55,191,302,11,315,1.012861,10 ms
56,212,381,11,307,1.016556,12 ms
57,237,390,11,376,1.065155,13 ms
58,317,476,11,408,1.000000,11 ms
59,278,478,11,574,1.017730,14 ms
60,338,541,11,488,1.044967,16 ms
61,353,608,11,350,1.000000,17 ms
62,402,695,11,504,1.020242,20 ms
63,572,963,11,635,1.022544,29 ms
64,663,1154,11,511,1.009881,24 ms
65,720,1269,11,513,1.009842,32 ms
66,921,1558,11,682,1.065625,51 ms
67,3675,6709,11,6992,1.047804,269 ms
68,84,149,12,1200237,1.000000,14 ms
69,64,192,12,3392,1.036991,10 ms
70,64,192,12,36,1.125000,10 ms
71,233,386,12,366,1.063953,18 ms
72,313,532,12,2785,1.011991,15 ms
73,386,653,12,391,1.012953,13 ms
74,539,985,12,476,1.017094,13 ms
75,818,1462,12,5314,1.012190,63 ms
76,1704,2991,12,879,1.011507,78 ms
77,1981,3633,12,6668,1.007555,140 ms
78,3031,5239,12,1295,1.003875,104 ms
79,4045,7094,12,1465,1.004112,114 ms
80,4221,7255,12,1597,1.016549,602 ms
81,110,188,13,1300801,1.000002,10 ms
82,339,579,13,345,1.000000,17 ms
83,346,583,13,469,1.026258,19 ms
84,311,613,13,1300529,1.000024,23 ms
85,125,750,13,23,1.150000,10 ms
86,125,750,13,3781,1.032777,9 ms
87,125,750,13,36,1.000000,9 ms
88,777,1358,13,668,1.060317,34 ms
89,933,1632,13,563,1.023636,24 ms
90,1128,1905,13,934,1.041248,75 ms
91,1359,2458,13,740,1.036414,86 ms
92,128,247,14,1400252,1.000001,16 ms
93,165,274,14,1388,1.029673,11 ms
94,145,283,14,1400318,1.000019,12 ms
95,418,723,14,414,1.037593,23 ms
96,468,822,14,397,1.000000,16 ms
97,1196,2084,14,760,1.020134,50 ms
98,138,257,15,1500422,1.000000,13 ms
99,193,369,15,1500425,1.000013,16 ms
100,204,374,16,1600215,1.000004,19 ms
101,311,579,16,1601238,1.000029,26 ms
102,391,666,16,381,1.000000,16 ms
103,402,690,16,403,1.025445,22 ms
104,499,861,16,629,1.058922,28 ms
105,712,1217,16,896,1.057851,64 ms
106,52,1326,16,1069,1.023946,7 ms
107,837,1438,16,874,1.030660,72 ms
108,822,1466,16,4653,1.009546,46 ms
109,1051,1791,16,998,1.062832,81 ms
110,1442,2403,16,889,1.005656,98 ms
111,1848,3286,16,958,1.048140,102 ms
112,2961,5100,16,1471,1.021527,481 ms
113,6405,10454,16,2292,1.015957,1378 ms
114,7998,14734,16,16072,1.066065,1694 ms
115,122,194,17,215,1.023809,19 ms
116,177,354,17,1700442,1.000000,14 ms
117,220,374,17,254,1.000000,11 ms
118,223,404,17,1700541,1.000009,23 ms
119,310,514,17,380,1.027027,19 ms
120,342,552,17,559,1.018214,19 ms
121,343,559,17,475,1.046255,22 ms
122,429,702,17,498,1.033195,22 ms
123,2039,3548,17,1144,1.036231,210 ms
124,2333,4137,17,1482,1.085714,270 ms
125,211,380,18,1801498,1.000018,53 ms
126,1005,1731,18,781,1.001282,118 ms
127,1709,2963,18,938,1.012958,122 ms
128,2050,3676,18,1036,1.018682,198 ms
129,3738,7013,18,1605,1.022292,452 ms
130,119,206,19,1901456,1.000005,27 ms
131,189,353,19,1900446,1.000003,22 ms
132,245,454,20,2000275,1.000001,59 ms
133,321,540,20,4244,1.027105,37 ms
134,1989,3641,20,8715,1.036882,316 ms
135,3683,6717,20,9644,1.054796,726 ms
136,237,444,21,2100555,1.000015,49 ms
137,529,1032,21,2103339,1.000026,73 ms
138,735,1256,21,772,1.011795,90 ms
139,770,1383,21,773,1.030666,102 ms
140,4640,8255,21,1433,1.041424,612 ms
141,233,431,22,2200585,1.000012,35 ms
142,294,568,22,2200421,1.000012,40 ms
143,828,1472,22,6117,1.050309,132 ms
144,4186,7074,22,2024,1.057471,1220 ms
145,132,230,23,2300251,1.000002,17 ms
146,257,515,23,2300460,1.000036,36 ms
147,3983,7108,23,1533,1.030241,350 ms
148,262,487,24,2400629,1.000002,45 ms
149,493,963,24,2403429,1.000040,98 ms
150,7231,13727,24,2208,1.016106,1595 ms
151,8007,14743,24,19157,1.076054,3510 ms
152,19083,35636,24,24511,1.031390,19708 ms
153,246,468,25,2500591,1.000020,36 ms
154,422,808,25,2500842,1.000005,74 ms
155,58,1653,25,13682,1.001977,17 ms
156,1994,3646,25,10127,1.042515,428 ms
157,2213,4135,25,1102,1.003642,469 ms
158,2414,4386,25,1451,1.018960,230 ms
159,3636,6789,25,1377,1.011013,1056 ms
160,5349,10086,25,2059,1.031563,1600 ms
161,640,40896,25,7090,1.363723,123 ms
162,640,40896,25,7075,1.362410,123 ms
163,640,40896,25,7089,1.364844,127 ms
164,640,40896,25,7094,1.362920,103 ms
