1,53,80,4,503,1.000000,8 ms
2,2500,3125,5,115,1.036036,897 ms
3,2500,5000,5,76,1.041095,814 ms
4,2500,12500,5,34,1.000000,1284 ms
5,2500,62500,5,15,1.000000,1073 ms
6,55,82,6,557,1.000000,18 ms
7,157,266,6,1267,1.022598,79 ms
8,307,526,6,1897,1.006366,215 ms
9,57,84,8,926,1.000000,31 ms
10,64,288,8,2344,1.002566,22 ms
11,64,288,8,23,1.000000,19 ms
12,160,269,9,1709,1.003523,211 ms
13,640,960,9,4192,1.039424,538 ms
14,640,960,9,3671,1.023132,474 ms
15,640,960,9,3438,1.000000,442 ms
16,640,960,9,4169,1.042250,604 ms
17,640,960,9,4097,1.022715,610 ms
18,640,4135,9,2482,1.037625,326 ms
19,640,4135,9,2476,1.004462,288 ms
20,640,4135,9,2428,1.012088,294 ms
21,640,4135,9,2354,1.084292,285 ms
22,640,4135,9,2448,1.043033,301 ms
23,640,204480,9,2350,1.343624,1273 ms
24,640,204480,9,2349,1.337699,1329 ms
25,640,204480,9,2348,1.338654,1300 ms
26,640,204480,9,2344,1.338663,1287 ms
27,90,135,10,191,1.015957,79 ms
28,169,280,10,277,1.007272,240 ms
29,179,293,10,245,1.000000,192 ms
30,286,465,10,374,1.000000,525 ms
31,298,503,10,312,1.003215,469 ms
32,311,530,10,2252,1.001779,543 ms
33,331,560,10,321,1.006269,450 ms
34,541,906,10,457,1.000000,965 ms
35,609,932,10,588,1.012048,2400 ms
36,632,1087,10,608,1.048275,2640 ms
37,777,1239,10,566,1.000000,3075 ms
38,816,1460,10,4289,1.002102,3534 ms
39,875,1522,10,604,1.000000,2350 ms
40,957,1554,10,607,1.000000,3510 ms
41,898,1562,10,599,1.008417,2344 ms
42,938,1655,10,616,1.000000,5411 ms
43,918,1684,10,609,1.008278,2532 ms
44,1080,2015,10,561,1.000000,3388 ms
45,1290,2270,10,828,1.006075,4432 ms
46,2500,3125,10,227,1.060747,4529 ms
47,2500,5000,10,149,1.027586,5644 ms
48,3023,5575,10,1589,1.001260,97539 ms
49,3221,5938,10,1571,1.013548,94394 ms
50,5181,8893,10,2082,1.032738,264059 ms
51,2500,12500,10,68,1.014925,6700 ms
52,2500,62500,10,26,1.040000,6075 ms
53,128,227,11,1100364,1.000002,371 ms
54,123,233,11,1100192,1.000011,260 ms
55,191,302,11,311,1.000000,299 ms
56,212,381,11,302,1.000000,390 ms
